,Date,name,tweet,death,Classification
0,2020-03-16,Marco Gomes, maravilhoso video do oatila sobre o perigo do coronavirus covid19 mesmo com baixa letalidade o problema e a quantidadd de leitos que serao necessarios para internar tanta gente inclusive jovens o sistema de saude qualquer um vai lotar  ,5060,neg
1,2020-03-16,Marco Gomes, jovens e naojovens como vai ficar a pegacao covid19 coronavirus  ,5060,neg
2,2020-03-16,Lee Abbamonte, i m installing dr anthony fauci as the even money favorite for time person of the year he s the only person in an authoritative position on coronavirus who s tolerable and credible to listen to covid19,5060,pos
3,2020-03-16,Steve Scott, breaking fed reduces benchmark interest rate to zero covid19 coronavirus wcbs880,5060,neg
4,2020-03-15,Steve Scott, breaking nycmayor mayor says nyc schools will close starting tomorrow first attempt to reopen will be monday 420 covid19 coronavirus wcbs880,5060,neg
5,2020-03-15,Steve Scott, nycmayor gives covid19 coronavirus update lusten live on wcbs880  ,5060,pos
6,2020-03-15,Steve Scott, nygovcuomo tells wcbs880 that nyc schools will close early this coming week   covid19 coronavirus,5060,neg
7,2020-03-15,Molly 📰 Stark 🤓 Dean, the caseload in italy topped 24700 even as the entire country has been locked down for a week and deaths in a single day rose past those reported by china at the peak of its coronavirus crisis staythefhome coronavirus covid19 highriskcovid19  ,5060,pos
8,2020-03-15,Kieran M. McGirl, nycmayor nygovcuomo office have confirmed that mass transit will remain open for the time being the rumors saying otherwise are completely false spreadtheword coronavirus covid19 nyc,5060,pos
9,2020-03-15,Steve Scott, once again i appreciate dr anthony fauci s calm educated and nonsensational leadership on the covid19 coronavirus front i hope people are listening to what he is saying,5060,pos
10,2020-03-15,Ron Waxman 🏳️‍🌈, this is a good time for us to have streaming services like netflix hulu disneyplus primevideo covid19 covid19 coronavirus,5060,pos
11,2020-03-15,Ron Waxman 🏳️‍🌈, trump and gop only care about business and the economy covid19 covid19 coronavirus,5060,pos
12,2020-03-15,Ron Waxman 🏳️‍🌈, trump and gop only care about business and the economy covid19 covid19 coronavirus,5060,pos
13,2020-03-15,Ron Waxman 🏳️‍🌈, trump and gop only care about business and the economy covid19 covid19 coronavirus  ,5060,pos
14,2020-03-15,Ron Waxman 🏳️‍🌈, we are so fucked coronapocolypse covid19 covid19 coronavirusupdates coronavirus  ,5060,neg
15,2020-03-15,Rajiv Pant राजीव पंत 潘睿哲, please watch this 18 second video offering excellent advice about how to reduce coronavirus covid19 transmission  ,5060,pos
16,2020-03-15,Kevin Rincon, i ll be joined by connecticut senblumenthal at 1103a on wcbs880 we ll talk about the coronavirus relief bill passed by the house still awaiting a vote in the senate the response to the outbreak in connecticut that state has at least 21 confirmed cases of covid19,5060,pos
17,2020-03-15,Lee Abbamonte, i don t understand why nyc isn t being more aggressive proactive trying to curb the spread of coronavirus if you leave schools bars restaurants openyoung people will continue to go this will continue to spread spread quickly why isn t nycmayor doing more covid19,5060,pos
18,2020-03-15,Brian Thompson, yes hoboken is shutting down i ll have the details tonight at 11 nbcnewyork barsclosed restaurantsclosed curfew coronavirus covid19 kenferrante ravibhalla  ,5060,neg
19,2020-03-15,The MOMS, anyone else too scared to look at their credit card bill due to coronavirus prep just sayin i ca nt bring myself to look coronapocalypse coronavirus coronavirus stayathome flattenthecurve covid19,5060,neg
20,2020-03-15,"Ronald A. Primas,MD", housecalls 2020 a new era coronavirus covid19 testing staying safe  ,5060,neg
21,2020-03-15,Paloma Escudero, que grande es italia que grande es espana so touched by the italian and spanish citizens expressing their solidarity every night from window to window an example for the rest of the countries coronavirus italy spainlockdown covid19 unicef who  ,5060,pos
22,2020-03-15,Rajiv Pant राजीव पंत 潘睿哲, viruses do not recognize borders nor should medical help i have enrolled to make automatic monthly donations to help doctors without borders usa msf_usa save lives of people caught in crisis worldwide join me http   coronavirus covid19 pandemic,5060,pos
23,2020-03-15,Joshua Hoyos, president trump s covid19 test has come back negative according to the physician to the president the president was tested yesterday for the coronavirus  ,5060,neg
24,2020-03-15,Miguel GAMIÑO Jr., coronavirus spain announces nationwide lockdown france to shut down shops coronavirus   covid19,5060,neg
25,2020-03-14,Clint Henderson, so weird to see apple shutting down its stores today at the oculus in lower manhattan strange days covid19 covid19 nyc coronavirus  ,5060,neg
26,2020-03-14,Paloma Escudero, por los profesionales sanitarios los autenticos heroes en la carrera contra coronavirus mi querida sobrina marta entre ellos bella ciao personal sanitario on vimeo   reftwshare covid19,5060,neg
27,2020-03-14,ARTECHOUSE, to our nyc patrons as we continue to closely monitor the latest developments regarding covid19 coronavirus we have made the difficult decision to temporarily suspend operation of our nyc location starting sunday march 15th through the end of march,5060,neg
