,Date,name,tweet,death,Classification
0,2020-01-31,Donald J. Trump, the radical left do nothing democrats keep chanting fairness when they put on the most unfair witch hunt in the history of the us congress they had 17 witnesses we were allowed zero and no lawyers they didn t do their job had no case the dems are scamming america,0,neg
1,2020-01-31,Donald J. Trump, incredible numbers  ,0,neg
2,2020-01-31,Donald J. Trump, nadler ripped final argument away from schiff thinks shifty did a terrible job they are fighting big time  ,0,pos
3,2020-01-31,Donald J. Trump, the best is yet to come  ,0,neg
4,2020-01-31,Donald J. Trump, americans across the political spectrum are disgusted by the washington democrats partisan hoaxes witch hunts con jobs registered democrats and independents are leaving the democrat party in droves we are welcoming these voters to the republican party w wide open arms  ,0,neg
5,2020-01-31,Donald J. Trump, washington dems have spent the last 3 years trying to overturn the last election and we will make sure they face another crushing defeat in the next election together we are going to win back the house we are going to hold the senate we are going to keep the white house  ,0,neg
6,2020-01-31,Donald J. Trump, to keep america safe we have fully rebuilt the us military it is now stronger more powerful and more lethal than ever before thanks to the courage of american heroes the isis caliphate has been destroyed its founder leader the animal known as albaghdadi is dead  ,0,pos
7,2020-01-31,Donald J. Trump, this november we are going to defeat the radical socialist democrats and win the great state of iowa in a historic landslide kag2020  ,0,pos
8,2020-01-31,Donald J. Trump, thank you iowa i love you   t56s,0,pos
9,2020-01-31,Donald J. Trump, great poll in iowa where i just landed for a big rally kag2020  ,0,pos
10,2020-01-31,Donald J. Trump, working closely with china and others on coronavirus outbreak only 5 people in us all in good recovery,0,pos
11,2020-01-30,Donald J. Trump, leaving michigan now great visit heading for iowa big rally,0,pos
12,2020-01-30,Donald J. Trump, biggest trade deal ever made the usmca was signed yesterday and the fake news media barely mentioned it they never thought it could be done they have zero credibility,0,neg
13,2020-01-30,Donald J. Trump, just landed in michigan car companies and many others are building and expanding here great to see,0,pos
14,2020-01-30,Donald J. Trump, happy birthday today to two of the very best in congress repmikejohnson age 48 and repleezeldin age 40big one two great american patriots,0,pos
15,2020-01-30,Donald J. Trump, congressman michaelcburgess has done a great job representing the people of texas he continues to protect your very important second amendment mike is strong on crime and the border he loves our great vets and military mike has my complete and total endorsement,0,pos
16,2020-01-30,Donald J. Trump, congressman brian babin4congress of texas has been a strong supporter of our maga agenda he is strong on the second amendment and securing our border he loves our great vets and military brian has my complete and total endorsement,0,pos
17,2020-01-30,Donald J. Trump,  ,0,neg
18,2020-01-30,Donald J. Trump,  ,0,neg
19,2020-01-30,Donald J. Trump,  ,0,neg
20,2020-01-30,Donald J. Trump,  ,0,neg
21,2020-01-30,Donald J. Trump, great photos from a southern border wall briefing with secretary of defense mark esperdod  ,0,neg
22,2020-01-30,Donald J. Trump, schiff blasted for not focusing on california homeless foxandfriends his district is in terrible shape he is a corrupt pol who only dreams of the impeachment hoax in my opinion he is mentally deranged,0,neg
23,2020-01-30,Donald J. Trump,  ,0,neg
24,2020-01-30,Donald J. Trump,  ,0,neg
25,2020-01-30,Donald J. Trump, just received a briefing on the coronavirus in china from all of our great agencies who are also working closely with china we will continue to monitor the ongoing developments we have the best experts anywhere in the world and they are on top of it 247  ,0,pos
26,2020-01-30,Donald J. Trump, nancy pelosi wants congress to take away authority presidents use to stand up to other countries and defend americans stand with your commander in chiefs,0,pos
27,2020-01-30,Donald J. Trump, with votes in the house tomorrow democrats want to make it harder for presidents to defend america and stand up to as an example iran protect our great country,0,pos
28,2020-01-30,Donald J. Trump, game over  ,0,neg
29,2020-01-29,Donald J. Trump,  ,0,neg
30,2020-01-29,Donald J. Trump, for the first time in american history we have replaced a disastrous trade deal that rewarded outsourcing with a truly fair and reciprocal trade deal that will keep jobs wealth and growth right here in america  ,0,pos
31,2020-01-29,Donald J. Trump, thanks to our proworker proamerican economic policies unemployment is at the lowest level in more than 50 years we have created over 7 million new jobs more americans are working today than ever before we have the hottest economy on earth  ,0,pos
32,2020-01-29,Donald J. Trump, usmca is a cutting edge state of the art agreement that protects defends and serves the great people of our country promises made promises kept  ,0,pos
33,2020-01-29,Donald J. Trump, usmca is a massive win for american manufacturers and auto workers  ,0,pos
34,2020-01-29,Donald J. Trump, they will never be satisfied  ,0,neg
35,2020-01-29,Donald J. Trump, the best evidence is the transcript itself brad blakeman foxnews,0,neg
36,2020-01-29,Donald J. Trump, there is much talk that certain democrats are going to be voting with republicans on the impeachment hoax so that the senate can get back to the business of taking care of the american people sorry but cryin chuck schumer will never let that happen,0,neg
37,2020-01-29,Donald J. Trump, on the iraq war resolution being voted on tomorrow in the house of represenatives we are down to 5000 soldiers and going down and i want everyone republican and democrat to vote their heart,0,neg
38,2020-01-29,Donald J. Trump, mark penn harris poll it s time to end the impeachment trial foxandfriends just another political hoax by the dems,0,neg
39,2020-01-29,Donald J. Trump, remember republicans the democrats already had 17 witnesses we were given none witnesses are up to the house not up to the senate don t let the dems play you,0,pos
40,2020-01-29,Donald J. Trump, many more mistakes of judgement gets fired because frankly if i listened to him we would be in world war six by now and goes out and immediately writes a nasty untrue book all classified national security who would do this,0,neg
