,Date,name,tweet,death
0,2020-03-31,Donald J. Trump, great work atlasairww thank you  ,5151
1,2020-03-31,Donald J. Trump, will be starting the white house news conference at 515 pm eastern,5151
2,2020-03-31,Donald J. Trump, my proposal to the politically correct automobile companies would lower the average price of a car to consumers by more than 3500 while at the same time making the cars substantially safer engines would run smoother positive impact on the environment foolish executives,5151
3,2020-03-31,Donald J. Trump, my administration is helping us auto workers by replacing the failed obama emissions rule impossible to satisfy its green new deal standard lots of unnecessary and expensive penalties to car buyers,5151
4,2020-03-31,Donald J. Trump, great news american families will now be able to buy safer more affordable and environmentally friendly cars with our new safe vehicles rule get rid of those old unsafe clunkers build better and safer american cars and create american jobs buy american,5151
5,2020-03-31,Donald J. Trump, thank you mike  ,5151
6,2020-03-31,Donald J. Trump, with interest rates for the united states being at zero this is the time to do our decades long awaited infrastructure bill it should be very big bold two trillion dollars and be focused solely on jobs and rebuilding the once great infrastructure of our country phase 4,5151
7,2020-03-31,Donald J. Trump, i watched a portion of low rated very morning psycho joe this morning in order to see what nancy pelosi had to say what moves she was planning to further hurt our country actually other than her usual complaining that i m a terrible person she wasn t bad still praying,5151
8,2020-03-31,Donald J. Trump, new york governor cuomo says president trump has been very helpful foxandfriends thank you everybody is working very hard,5151
9,2020-03-31,Donald J. Trump,  ,5151
10,2020-03-30,Donald J. Trump, white house news conference at 500 pm eastern thank you,5151
11,2020-03-30,Donald J. Trump,  ,5151
12,2020-03-30,Donald J. Trump, on nationaldoctorsday we recognize the remarkable men women who treat their fellow americans find cures for the diseases illnesses we face and never waver in their efforts to treat every patient with the dignity respect and empathy they deserve  ,5151
13,2020-03-30,Donald J. Trump,  ,5151
14,2020-03-30,Donald J. Trump, nancy pelosi and the democrats delayed the workers helpstimulus bill by over a week trying to add real junk into the bill got some bad things having nothing to do with those affected by the virus included republicans need their votes until we win back the house in 2020,5151
15,2020-03-30,Donald J. Trump, thank you dr hahn the fda for your fast approval of this respected ohio company recommended by governor mikedewine great potential  ,5151
16,2020-03-30,Donald J. Trump, will be interviewed on foxandfriends at 755 am usa strong,5151
17,2020-03-30,Donald J. Trump,  ,5151
18,2020-03-30,Donald J. Trump,  ,5151
19,2020-03-29,Donald J. Trump, will be starting the white house news conference at 530 pm eastern,5151
20,2020-03-29,Donald J. Trump, so proud of the usacehq fema and the federal government for the 2900 bed hospital they built in 4 days way ahead of schedule in the javits center for ny we are now moving the teams to join others so they can continue to build more hospitalsbeds keep up the great work,5151
21,2020-03-29,Donald J. Trump, thank you very much to ken langone for being a great american and for your wonderful comments on teamcavuto,5151
22,2020-03-29,Donald J. Trump, i am a great friend and admirer of the queen the united kingdom it was reported that harry and meghan who left the kingdom would reside permanently in canada now they have left canada for the us however the us will not pay for their security protection they must pay,5151
23,2020-03-29,Donald J. Trump, happy national vietnam war veterans day to all of our vietnam era veterans you have earned our gratitude and thanks by your actions years ago and what you have done since returning home the nation thanks you and your families for your service and sacrifice we love you  ,5151
24,2020-03-29,Donald J. Trump, the cbs news poll said 13 percent of republicans trusted the news media for information about the virus michael m grynbaum nytimes,5151
25,2020-03-29,Donald J. Trump, alone attracted 62 million viewers for the president s briefing an astounding number for a 6 pm cable broadcast more akin to the viewership for a popular primetime sitcom,5151
26,2020-03-29,Donald J. Trump, on monday nearly 122 million people watched mr trump s briefing on cnn fox news and msnbc according to nielsen monday night football numbers millions more are watching on abc cbs nbc and online streaming sites and the audience is expanding on monday fox news,5151
27,2020-03-29,Donald J. Trump, president trump is a ratings hit since reviving the daily white house briefing mr trump and his coronavirus updates have attracted an average audience of 85 million on cable news roughly the viewership of the season finale of the bachelor numbers are continuing to rise,5151
28,2020-03-29,Donald J. Trump, because the ratings of my news conferences etc are so high bachelor finale monday night football type numbers according to the nytimes the lamestream media is going crazy trump is reaching too many people we must stop him said one lunatic see you at 500 pm,5151
29,2020-03-29,Donald J. Trump, polls are showing tremendous disapproval of lamestream media coverage of the virus crisis the fake news just hasn t figured that out yet,5151
30,2020-03-29,Donald J. Trump, the lamestream media wants us to fail that will never happen,5151
31,2020-03-29,Donald J. Trump, hope the fda can approve mask sterilization equipment asap as per governor mikedewine there is a company in ohio battelle which has equipment that can sterilize masks quickly,5151
32,2020-03-29,Donald J. Trump, with the tax cuts and new trade deals we were set for a tremendous growth rate this year and then the virus came along larry_kudlow mariabartiromo we were breaking all records especially on employment it will all come roaring back again and fast,5151
33,2020-03-29,Donald J. Trump, highly recommended by governor mikedewine of ohio fda must move quickly  ,5151
34,2020-03-29,Donald J. Trump, will be doing a press conference today at 500 pm the white house people are working harder than i have ever seen people work it is a beautiful thing to watch,5151
35,2020-03-29,Donald J. Trump, federal government a quarantine will not be necessary full details will be released by cdc tonight thank you,5151
36,2020-03-29,Donald J. Trump, on the recommendation of the white house coronavirus task force and upon consultation with the governor s of new york new jersey and connecticut i have asked the cdcgov to issue a strong travel advisory to be administered by the governors in consultation with the,5151
37,2020-03-29,Donald J. Trump, with the courage of our doctors and nurses with the skill of our scientists and innovators with the determination of the american people and with the grace of god we will win this war when we achieve this victory we will emerge stronger and more united than ever before  ,5151
38,2020-03-28,Donald J. Trump,   t1s,5151
39,2020-03-28,Donald J. Trump, i am giving consideration to a quarantine of developing hot spots new york new jersey and connecticut a decision will be made one way or another shortly,5151
40,2020-03-28,Donald J. Trump, heading to the great state of virginia now will be there shortly the usnscomfort is loaded to the gills at naval station norfolk departing for new york city this afternoon  ,5151
41,2020-03-28,Donald J. Trump, very often fake news lamestream media should be forced to reveal sources very much as they did in the long ago past if they did that the media would be trusted again and fake news would largely be a thing of the past,5151
42,2020-03-28,Donald J. Trump, one of the reasons that fake news has become so prevalent far reaching is the fact that corrupt journalists base their stories on sources that they make up in order to totally distort a narrative or story when you see five sources say don t believe the story it is,5151
43,2020-03-28,Donald J. Trump, so much of the lamestream media is writing and broadcasting stories with facts that are made up and knowingly wrong they are doing it by quoting unnamed sources that simply do not exist these are very dangerous corrupt people who will do anything to win name your sources,5151
44,2020-03-28,Donald J. Trump, thank you james  ,5151
45,2020-03-28,Donald J. Trump, more fake news  ,5151
46,2020-03-28,Donald J. Trump, such fake reporting by the nytimes washingtonpost cnn others they use a small portion of a sentence out of a full paragraph in order to demean they really are corrupt and disgusting no wonder the media is according to polls record setting low untrusted maga,5151
47,2020-03-28,Donald J. Trump,  ,5151
48,2020-03-28,Donald J. Trump,  ,5151
49,2020-03-28,Donald J. Trump, i love michigan one of the reasons we are doing such a great job for them during this horrible pandemic yet your governor gretchen half whitmer is way in over her head she doesn t have a clue likes blaming everyone for her own ineptitude maga,5151
50,2020-03-28,Donald J. Trump, she is a third rate reporter who has nothing going a fake news journalist  ,5151
51,2020-03-28,Donald J. Trump, we are marshalling the full power of government and society to achieve victory over the virus together we will endure we will prevail and we will win caresact  ,5151
52,2020-03-27,Donald J. Trump, i just signed the cares act the single biggest economic relief package in american history twice as large as any relief bill ever enacted at 22 trillion dollars this bill will deliver urgentlyneeded relief for our nation s families workers and businesses caresact  ,5151
53,2020-03-27,Donald J. Trump, news conference live from the whitehouse today 530 pm eastern,5151
54,2020-03-27,Donald J. Trump, thank you to rachel maddow for putting our military on full display and showing how great a job the federal government is doing also a special thanks to general semonite a patriot of the highest order and a truly talented engineer and builder  ,5151
55,2020-03-27,Donald J. Trump, never knew john kerry had such a good sense of humor very impressed  ,5151
56,2020-03-27,Donald J. Trump, thousand of federal government delivered ventilators found in new york storage ny must distribute now,5151
57,2020-03-27,Donald J. Trump, will someone please explain to the fake news new york times all the news that s not fit to print that the democrats make it almost impossible for us to fill positions within government they maximum delay even the best candidates including judges leaving little time,5151
58,2020-03-27,Donald J. Trump, we have just purchased many ventilators from some wonderful companies names and numbers will be announced later today,5151
59,2020-03-27,Donald J. Trump, invoke p means defense production act,5151
60,2020-03-27,Donald J. Trump, general motors must immediately open their stupidly abandoned lordstown plant in ohio or some other plant and start making ventilators now ford get going on ventilators fast generalmotors ford,5151
