,word,count
6,coronavirus,57
12,covid19,54
4,new,39
7,case,24
14,york,21
5,nyc,19
117,positive,15
0,breaking,15
160,woman,12
90,travel,12
21,emergency,10
46,health,9
172,manhattan,9
11,confirmed,9
3,1,9
13,cases,9
45,department,9
191,first,9
119,nygovcuomo,9
161,tested,9
181,iran,9
22,management,7
48,maryland,6
149,also,6
68,information,6
89,patient,6
112,take,6
174,traveled,6
81,care,6
171,apartment,6
79,markets,6
34,quarantine,6
168,took,6
30,home,6
26,italy,6
15,city,6
27,people,6
19,pix11news,6
118,westchester,6
23,oem,4
20,office,4
137,eua,3
133,6,3
158,39year,3
159,old,3
162,came,3
156,factors,3
163,back,3
132,sao,3
164,tuesday,3
131,ja,3
130,announced,3
129,cuomo,3
165,believe,3
128,governor,3
157,consider,3
154,info,3
155,upcoming,3
136,nos,3
138,e,3
139,caso,3
140,confirmado,3
166,contagious,3
142,nova,3
143,onde,3
144,moro,3
145,comprehensive,3
146,factbased,3
147,post,3
135,por,3
148,blogger,3
134,mortes,3
150,practicing,3
151,physician,3
152,really,3
153,good,3
141,em,3
180,returning,3
167,plane,3
169,private,3
199,hands,3
200,ap,3
201,confirms,3
202,test,3
203,result,3
204,sickened,3
205,tens,3
206,thousands,3
207,across,3
208,globe,3
209,evening,3
210,learned,3
211,novel,3
212,state,3
213,late,3
214,thirties,3
215,contracted,3
216,virus,3
217,traveling,3
218,abroad,3
219,currently,3
198,washing,3
197,sure,3
196,make,3
183,mass,3
170,car,3
173,husband,3
175,tells,3
176,cnn,3
177,worker,3
178,proper,3
179,precautions,3
126,50s,3
182,use,3
184,transit,3
195,panic,3
185,quarantined,3
186,inside,3
187,66,3
188,deaths,3
189,among,3
190,1501,3
192,known,3
193,mild,3
194,reason,3
127,county,3
110,hello,3
125,man,3
57,political,3
47,notified,3
49,mdh,3
50,person,3
51,disease,3
52,2019,3
53,february,3
54,27march,3
55,attending,3
56,conservative,3
58,action,3
43,bbcnews,3
59,conference,3
60,cpac,3
61,national,3
62,harbor,3
63,continuing,3
64,coordinate,3
65,agencies,3
66,response,3
67,additional,3
44,jersey,3
42,million,3
124,second,3
28,told,3
2,says,3
8,today,3
9,bronx,3
10,13,3
16,news,3
17,breakingnews,3
18,coronavirusoutbreak,3
24,serious,3
25,escalation,3
29,stay,3
41,16,3
31,much,3
32,possible,3
33,break,3
35,could,3
36,face,3
37,three,3
38,months,3
39,jail,3
40,northern,3
69,visit,3
70,http,3
71,call,3
109,recent,3
100,policies,3
101,bring,3
102,reusable,3
103,cup,3
104,starbucks,3
105,headline,3
106,two,3
107,connection,3
108,others,3
1,nycmayor,3
72,nyc311,3
111,friends,3
113,look,3
114,attached,3
115,flyers,3
116,regarding,3
120,speak,3
121,9am,3
122,2nd,3
123,live,3
99,nychealthsystem,3
98,review,3
97,refresh,3
96,preparedness,3
73,seems,3
74,like,3
75,huge,3
76,beat,3
77,even,3
78,move,3
80,seem,3
82,panel,3
83,discussion,3
84,topics,3
85,include,3
86,infection,3
87,prevention,3
88,involvement,3
91,history,3
92,considerations,3
93,n95,3
94,respirator,3
95,procedures,3
220,isolated,3
