,word,count
110,great,79
3,democrats,48
211,impeachment,39
147,never,38
116,thank,36
417,president,34
83,house,31
292,foxnews,29
212,hoax,29
245,iran,28
129,people,26
2,nothing,25
68,years,25
97,american,25
36,big,24
56,party,24
37,time,24
154,many,23
85,senate,23
270,new,22
55,democrat,21
12,us,21
769,trump,20
90,military,20
150,done,20
80,going,19
376,like,19
31,schiff,18
449,even,18
529,usa,17
11,history,17
161,two,17
60,republican,17
298,get,16
242,want,16
13,congress,16
246,country,15
143,news,15
371,said,15
333,would,15
82,back,15
21,dems,15
111,state,14
33,shifty,14
142,fake,14
179,strong,14
19,job,14
180,crime,14
124,china,13
81,win,13
419,far,13
136,trade,13
72,make,13
1,left,13
38,best,13
138,made,13
75,another,13
573,united,13
272,economy,13
23,america,13
167,one,12
297,republicans,12
424,really,12
553,ukraine,12
225,world,12
71,election,12
0,radical,12
228,nancy,12
716,states,12
94,ever,11
160,today,11
8,unfair,11
208,corrupt,11
205,foxandfriends,11
905,got,11
400,high,11
304,chuck,11
157,see,10
379,transcripts,10
137,deal,10
66,last,10
546,read,10
39,yet,10
130,good,10
125,others,10
47,partisan,10
122,working,10
20,case,10
178,mike,9
396,way,9
839,go,9
218,also,9
418,three,9
508,day,9
619,record,9
9,witch,9
910,dollars,9
293,much,9
17,zero,9
930,bernie,9
364,john,9
321,trial,9
10,hunt,8
303,cryin,8
308,iraq,8
40,come,8
316,vote,8
229,pelosi,8
172,texas,8
144,media,8
630,totally,8
984,mini,8
611,wrong,8
51,jobs,8
621,court,8
348,ago,7
41,americans,7
1389,soleimani,7
15,witnesses,7
195,wall,7
306,let,7
381,always,7
988,money,7
186,endorsement,7
185,total,7
184,complete,7
181,border,7
390,must,7
497,knew,7
608,killed,7
595,getting,7
617,federal,7
342,national,7
4,keep,7
117,love,7
823,hard,7
423,fact,7
714,iranian,7
577,including,7
248,first,7
1003,hit,7
664,question,6
176,second,6
322,remember,6
177,amendment,6
323,already,6
1044,articles,6
829,work,6
1062,things,6
182,loves,6
183,vets,6
847,scam,6
305,schumer,6
929,crazy,6
1456,protesters,6
1092,hope,6
258,right,6
614,approval,6
6,fairness,6
235,stand,6
615,rating,6
69,trying,6
472,watch,6
343,security,6
67,3,6
830,well,6
134,heading,6
43,political,6
349,anything,6
425,future,6
409,family,6
34,terrible,6
121,rally,6
395,2020,6
30,away,6
46,washington,6
374,give,6
840,else,6
103,leader,6
25,numbers,6
465,know,6
158,happy,6
561,administration,6
115,kag2020,6
620,supreme,5
1374,agree,5
880,government,5
464,happened,5
230,wants,5
813,leaders,5
613,95,5
473,beginning,5
234,use,5
427,look,5
461,say,5
726,ask,5
980,presidential,5
231,take,5
345,approved,5
908,billion,5
856,biden,5
756,every,5
340,book,5
709,making,5
324,given,5
568,foreign,5
705,seen,5
992,bloomberg,5
365,bolton,5
739,able,5
377,quickly,5
738,watching,5
552,aid,5
737,person,5
597,life,5
634,adam,5
837,thing,5
532,help,5
416,amazing,5
300,taking,5
1128,2nd,5
810,healthcare,5
1252,lot,5
190,maga,5
86,white,5
112,iowa,5
135,biggest,5
16,allowed,5
934,allow,5
24,incredible,5
139,usmca,5
50,con,5
95,thanks,4
554,conditions,4
1322,ingrahamangle,4
1104,tremendous,4
548,asked,4
91,stronger,4
569,minister,4
570,pressure,4
544,whistleblower,4
1108,congratulations,4
1107,wow,4
1398,believe,4
175,important,4
174,protect,4
588,wonderful,4
1307,nobody,4
320,end,4
315,everyone,4
969,witness,4
855,joe,4
78,next,4
309,war,4
307,happen,4
618,judges,4
63,open,4
302,sorry,4
299,business,4
350,since,4
359,says,4
519,hearing,4
986,spending,4
1253,place,4
422,investigations,4
407,corruption,4
123,closely,4
1165,virginia,4
402,borders,4
434,strongly,4
888,illegal,4
119,poll,4
392,everything,4
450,though,4
933,looking,4
887,bad,4
1794,badly,4
148,thought,4
149,could,4
151,credibility,4
476,ratings,4
373,matter,4
981,campaign,4
485,name,4
486,senator,4
1142,exactly,4
494,man,4
1308,greatest,4
499,roger,4
638,words,4
928,soon,4
1169,tonight,4
712,true,4
18,lawyers,4
666,idea,4
773,committed,4
54,leaving,4
1516,icig,4
748,nervous,4
744,knows,4
848,attack,4
649,post,4
763,robert,4
281,promises,4
648,york,4
283,massive,4
1034,process,4
793,policy,4
646,michael,4
253,truly,4
219,continue,4
1203,deals,4
1020,rush,4
675,days,4
254,fair,4
642,fraud,4
1015,demand,4
1073,davos,4
241,tomorrow,4
247,game,4
468,cnn,3
760,office,3
1045,legal,3
466,chris,3
640,ukrainian,3
477,social,3
480,correct,3
743,everybody,3
1514,mariabartiromo,3
1309,rebuilding,3
729,real,3
504,2a,3
877,still,3
1136,number,3
1452,terrorist,3
1039,used,3
1152,10,3
462,yes,3
1014,mexico,3
132,michigan,3
421,phony,3
948,race,3
126,coronavirus,3
798,nation,3
430,east,3
1778,taken,3
1027,weak,3
1586,stop,3
441,peace,3
443,smart,3
444,lower,3
785,figures,3
784,politicians,3
445,rate,3
7,put,3
1134,hundreds,3
1768,equipment,3
456,almost,3
460,better,3
509,millions,3
1523,wanted,3
1297,order,3
77,defeat,3
844,obama,3
1103,progress,3
668,think,3
589,bryant,3
1674,toledo,3
1675,ohio,3
596,started,3
660,reason,3
1568,caught,3
79,together,3
1096,enjoy,3
1302,team,3
1132,tough,3
647,goodwin,3
65,spent,3
1485,protests,3
643,anyone,3
622,justices,3
852,choice,3
628,meet,3
1089,major,3
632,interview,3
59,voters,3
1686,year,3
1105,coming,3
1489,kill,3
1429,preexisting,3
88,fully,3
515,crimes,3
1000,helping,3
