,word,count
10,coronavirus,129
11,covid19,112
52,nyc,34
222,cases,24
209,new,22
93,people,21
141,covid_19,21
23,positive,16
210,york,15
91,pix11news,12
204,time,11
374,days,11
89,coronavirusnewyork,10
22,tested,10
34,city,10
105,hospital,9
287,cuomo,9
6,see,8
98,get,8
411,covid2019,8
18,health,8
171,died,8
407,nygovcuomo,8
425,day,7
398,one,7
14,verona,7
55,pressconference,6
218,fair,6
273,3,6
15,residents,6
406,help,6
119,brooklyn,6
20,updated,6
21,number,6
95,socialdistancing,6
246,nearly,5
938,test,5
183,stayhome,5
164,update,5
412,ny,5
410,jamesfordtv,5
194,back,5
244,crisis,5
618,masks,5
335,open,5
501,going,5
200,say,5
24,novel,5
319,also,5
220,nj,5
219,lawn,5
422,says,5
641,icu,5
237,pandemic,5
427,longer,5
484,could,5
295,take,5
539,w,5
19,department,5
462,worst,4
163,2,4
72,covid,4
580,lives,4
87,today,4
482,things,4
463,thing,4
585,6,4
75,testing,4
579,many,4
37,workers,4
639,hospitalized,4
707,numbers,4
255,work,4
239,de,4
265,week,4
17,montclair,4
26,2019,4
293,global,4
731,like,4
35,state,4
299,fight,4
646,ventilators,4
112,patients,4
614,14,4
178,queens,4
133,great,3
513,us,3
939,came,3
260,medical,3
248,dead,3
364,good,3
357,confirmed,3
477,daily,3
868,right,3
339,en,3
225,inside,3
1075,americans,3
318,alertnotanxious,3
223,yorkers,3
138,morning,3
830,please,3
331,yesterday,3
329,coronavirusoutbreak,3
878,little,3
378,healthcare,3
327,coronalockdown,3
302,much,3
452,everyone,3
438,getting,3
173,bronx,3
485,weeks,3
658,others,3
624,keep,3
551,enough,3
25,disease,3
16,afternoon,3
593,china,3
591,part,3
68,diagnosed,3
50,public,3
13,dear,3
537,10,3
626,latest,3
30,sad,3
103,newyork,3
31,must,3
590,videos,3
805,better,3
8,usnscomfort,3
589,upload,3
533,information,3
588,inexplicably,3
656,think,3
587,parts,3
586,video,3
775,via,3
552,support,3
322,forward,2
321,looking,2
752,virtual,2
761,la,2
755,100,2
760,por,2
652,every,2
334,symptoms,2
336,playgrounds,2
337,nycgov,2
964,shows,2
772,half,2
613,12,2
343,governor,2
346,deaths,2
348,tied,2
351,overnight,2
745,el,2
834,care,2
740,surgical,2
274,nycshutdown,2
702,home,2
253,reported,2
709,another,2
711,perhaps,2
258,maria,2
715,beds,2
261,leave,2
264,since,2
682,40,2
681,waiting,2
269,related,2
270,illnesses,2
272,years,2
1006,20buttons,2
979,used,2
277,still,2
278,using,2
1002,younger,2
290,nys,2
720,45,2
668,wow,2
729,story,2
735,thank,2
294,community,2
610,breaking,2
989,unless,2
739,donated,2
987,grip,2
355,total,2
940,saturday,2
359,rogers,2
368,coronavirusupdate,2
885,next,2
884,go,2
457,safe,2
560,calls,2
555,response,2
549,elmhursthospital,2
877,second,2
465,even,2
876,wcbs880,2
822,worse,2
469,war,2
823,nothing,2
476,giving,2
478,updates,2
865,gileadsciences,2
824,yes,2
535,brilliant,2
487,far,2
498,boris,2
825,would,2
850,plan,2
511,shines,2
528,thought,2
514,let,2
837,flattenthecurve,2
835,share,2
521,well,2
806,someone,2
896,need,2
436,johnlennon,2
381,action,2
777,means,2
371,apex,2
941,covid19coronavirus,2
604,met,2
527,ever,2
781,coronaviruslockdown,2
600,case,2
599,additional,2
598,includes,2
937,tuesday,2
786,done,2
936,got,2
382,jacobi,2
433,negative,2
383,center,2
384,speak,2
397,javitscenter,2
583,failure,2
413,least,2
576,yet,2
417,according,2
573,results,2
570,country,2
426,worried,2
804,feel,2
429,needs,2
249,last,2
349,outbreak,2
99,glimpse,2
1044,president,2
197,start,2
198,grading,2
96,gathering,2
153,possible,2
49,working,2
1077,read,2
203,saves,2
47,presumed,2
44,per,2
142,30,2
100,police,2
104,makeshift,2
1042,amongst,2
213,trying,2
36,essential,2
111,overflow,2
144,statement,2
217,coronaupdate,2
154,fear,2
